season,date,away_team,away_point_spread,away_money_line,away_money_line
2019-20,11/10/19,ATL,9,325,325
2019-20,11/10/19,TOR,10.5,450,450
2019-20,11/11/19,MIN,4,155,155
2019-20,11/11/19,DAL,3,125,125
2019-20,11/11/19,MEM,10.5,450,450
2019-20,11/11/19,HOU,-7.5,-350,-350
2019-20,11/11/19,UTA,-8,-400,-400
2019-20,11/11/19,TOR,10,375,375
2019-20,11/12/19,CLE,11,525,525
2019-20,11/12/19,OKC,1.5,100,100
2019-20,11/12/19,DET,8.5,300,300
2019-20,11/12/19,NYK,6.5,225,225
2019-20,11/12/19,LAL,-3.5,-165,-165
2019-20,11/12/19,ATL,10.5,450,450
2019-20,11/12/19,BRK,7,240,240
2019-20,11/12/19,POR,-1.5,-125,-125
2019-20,11/13/19,PHI,2,110,110
2019-20,11/13/19,MEM,2.5,120,120
2019-20,11/13/19,LAC,2,115,115
2019-20,11/13/19,WAS,7,250,250
2019-20,11/13/19,SAS,1.5,100,100
2019-20,11/13/19,TOR,3.5,140,140
2019-20,11/13/19,GSW,9,350,350
2019-20,11/14/19,MIA,-4.5,-200,-200
2019-20,11/14/19,CHI,11.5,550,550
2019-20,11/14/19,DAL,-8,-340,-340
2019-20,11/14/19,LAC,-4,-190,-190
2019-20,11/14/19,ATL,8,270,270
2019-20,11/14/19,BRK,7.5,275,275
2019-20,11/15/19,DET,-4,-180,-180
2019-20,11/15/19,SAS,2.5,125,125
2019-20,11/15/19,WAS,6,200,200
2019-20,11/15/19,IND,6,210,210
2019-20,11/15/19,PHI,-3.5,-160,-160
2019-20,11/15/19,UTA,-8,-350,-350
2019-20,11/15/19,BOS,-7,-310,-310
2019-20,11/15/19,SAC,10.5,425,425
2019-20,11/16/19,BRK,4,150,150
2019-20,11/16/19,MIL,-7.5,-330,-330
2019-20,11/16/19,CHO,4,150,150
2019-20,11/16/19,HOU,2,115,115
2019-20,11/16/19,ORL,8,260,260
2019-20,11/16/19,TOR,4.5,155,155
2019-20,11/16/19,POR,1.5,110,110
2019-20,11/16/19,ATL,9,375,375
2019-20,11/17/19,PHI,-7.5,-310,-310
2019-20,11/17/19,BOS,-2.5,-145,-145
2019-20,11/17/19,DEN,-6.5,-275,-275
2019-20,11/17/19,WAS,5.5,190,190
2019-20,11/17/19,GSW,3.5,140,140
2019-20,11/17/19,ATL,14.5,900,900
2019-20,11/18/19,CLE,5.5,190,190
2019-20,11/18/19,IND,2.5,120,120
2019-20,11/18/19,CHO,8.5,300,300
2019-20,11/18/19,MIL,-8.5,-400,-400
2019-20,11/18/19,POR,7,250,250
2019-20,11/18/19,SAS,5,170,170
2019-20,11/18/19,MIN,9.5,375,375
2019-20,11/18/19,BOS,2.5,115,115
2019-20,11/18/19,OKC,7.5,300,300
2019-20,11/19/19,POR,3.5,140,140
2019-20,11/19/19,GSW,6,210,210
2019-20,11/19/19,PHX,3,135,135
2019-20,11/19/19,OKC,11,500,500
2019-20,11/20/19,NYK,12.5,600,600
2019-20,11/20/19,SAS,-2,-130,-130
2019-20,11/20/19,CLE,9.5,375,375
2019-20,11/20/19,MIL,-11,-700,-700
2019-20,11/20/19,GSW,15,900,900
2019-20,11/20/19,CHO,4.5,160,160
2019-20,11/20/19,ORL,3,130,130
2019-20,11/20/19,DET,-1,-115,-115
2019-20,11/20/19,UTA,-3,-150,-150
2019-20,11/20/19,HOU,1.5,105,105
2019-20,11/20/19,BOS,7,240,240
2019-20,11/21/19,POR,14,750,750
2019-20,11/21/19,ORL,3,135,135
2019-20,11/22/19,ATL,6,215,215
2019-20,11/22/19,CHO,6,200,200
2019-20,11/22/19,SAC,2,115,115
2019-20,11/22/19,SAS,7,240,240
2019-20,11/22/19,MIA,-4.5,-190,-190
2019-20,11/22/19,LAL,-4.5,-200,-200
2019-20,11/22/19,CLE,10,450,450
2019-20,11/22/19,BOS,5,175,175
2019-20,11/22/19,GSW,16,1300,1300
2019-20,11/22/19,HOU,5.5,175,175
2019-20,11/23/19,PHX,4.5,170,170
2019-20,11/23/19,CHI,-2,-130,-130
2019-20,11/23/19,ORL,6.5,225,225
2019-20,11/23/19,MIA,5.5,200,200
2019-20,11/23/19,SAS,-3,-155,-155
2019-20,11/23/19,TOR,-7.5,-330,-330
2019-20,11/23/19,LAL,-8,-360,-360
2019-20,11/23/19,POR,-6.5,-275,-275
2019-20,11/23/19,DET,13,750,750
2019-20,11/23/19,ORL,5.5,190,190
2019-20,11/24/19,DAL,5.5,190,190
2019-20,11/24/19,SAC,2.5,115,115
2019-20,11/24/19,BRK,-2.5,-135,-135
2019-20,11/24/19,PHX,11,500,500
2019-20,11/24/19,ORL,13,750,750
2019-20,11/25/19,ORL,4.5,160,160
2019-20,11/25/19,MEM,9.5,375,375
2019-20,11/25/19,BRK,1,100,100
2019-20,11/25/19,PHI,-1.5,-125,-125
2019-20,11/25/19,SAC,6,235,235
2019-20,11/25/19,CHO,10.5,500,500
2019-20,11/25/19,MIN,-4.5,-190,-190
2019-20,11/25/19,UTA,8.5,325,325
2019-20,11/25/19,POR,-1,-120,-120
2019-20,11/25/19,LAL,-4.5,-200,-200
2019-20,11/25/19,OKC,-7.5,-330,-330
2019-20,11/26/19,LAC,-1.5,-125,-125
2019-20,11/26/19,WAS,10.5,450,450
2019-20,11/27/19,UTA,0,-110,-110
2019-20,11/27/19,BRK,8.5,300,300
2019-20,11/27/19,SAC,9,375,375
2019-20,11/27/19,ORL,0,-110,-110
2019-20,11/27/19,DET,-3.5,-180,-180
2019-20,11/27/19,NYK,9.5,425,425
2019-20,11/27/19,ATL,14.5,900,900
2019-20,11/27/19,LAC,-6.5,-275,-275
2019-20,11/27/19,MIA,7,250,250
2019-20,11/27/19,MIN,3,130,130
2019-20,11/27/19,WAS,6.5,235,235
2019-20,11/27/19,LAL,-6.5,-330,-330
2019-20,11/27/19,OKC,2.5,125,125
2019-20,11/27/19,CHI,-2,-130,-130
2019-20,11/29/19,BOS,-4,-180,-180
2019-20,11/29/19,CHO,8,260,260
2019-20,11/29/19,TOR,-3,-150,-150
2019-20,11/29/19,PHI,-6.5,-280,-280
2019-20,11/29/19,MIL,-11,-700,-700
2019-20,11/29/19,ATL,11,500,500
2019-20,11/29/19,GSW,11.5,525,525
2019-20,11/29/19,ORL,4.5,165,165
2019-20,11/29/19,UTA,-7.5,-330,-330
2019-20,11/29/19,LAC,-5,-220,-220
2019-20,11/29/19,DAL,-2,-135,-135
2019-20,11/29/19,CHI,7,240,240
2019-20,11/29/19,WAS,11.5,525,525
2019-20,11/30/19,DEN,-4,-185,-185
2019-20,11/30/19,IND,6,210,210
2019-20,11/30/19,CHO,14,850,850
2019-20,11/30/19,ATL,14,850,850
2019-20,12/1/19,MIA,-4,-185,-185
2019-20,12/1/19,BOS,-7.5,-400,-400
2019-20,12/1/19,MEM,12,650,650
2019-20,12/1/19,DAL,6.5,225,225
2019-20,12/1/19,SAS,2.5,120,120
2019-20,12/1/19,OKC,2.5,120,120
2019-20,12/1/19,GSW,7.5,275,275
2019-20,12/1/19,UTA,2,110,110
2019-20,12/1/19,WAS,12,650,650
2019-20,12/2/19,UTA,5,180,180
2019-20,12/2/19,PHX,-4,-170,-170
2019-20,12/2/19,GSW,6.5,210,210
2019-20,12/2/19,IND,-9,-450,-450
2019-20,12/2/19,NYK,17,1200,1200
2019-20,12/2/19,CHI,5,180,180
2019-20,12/3/19,DET,-3.5,-165,-165
2019-20,12/3/19,ORL,0,-110,-110
2019-20,12/3/19,DAL,-4.5,-200,-200
2019-20,12/3/19,MIA,5.5,190,190
2019-20,12/3/19,HOU,-7,-330,-330
2019-20,12/3/19,LAL,2.5,115,115
2019-20,12/3/19,POR,9,350,350
2019-20,12/4/19,MIL,-9,-500,-500
2019-20,12/4/19,PHX,-1.5,-125,-125
2019-20,12/4/19,GSW,2.5,120,120
2019-20,12/4/19,BRK,-3,-150,-150
2019-20,12/4/19,MIA,5.5,185,185
2019-20,12/4/19,MEM,6.5,240,240
2019-20,12/4/19,IND,-1,-125,-125
2019-20,12/4/19,MIN,5.5,190,190
2019-20,12/4/19,LAL,2,105,105
2019-20,12/4/19,SAC,5,180,180
2019-20,12/5/19,PHI,-8,-380,-380
2019-20,12/5/19,HOU,2,110,110
2019-20,12/5/19,DEN,-9,-420,-420
2019-20,12/5/19,PHX,4,155,155
2019-20,12/6/19,IND,-1.5,-125,-125
2019-20,12/6/19,ORL,-4.5,-190,-190
2019-20,12/6/19,BRK,-3,-150,-150
2019-20,12/6/19,MIN,3.5,145,145
2019-20,12/6/19,WAS,9.5,400,400
2019-20,12/6/19,GSW,4.5,160,160
2019-20,12/6/19,DEN,3,140,140
2019-20,12/6/19,LAC,4.5,160,160
2019-20,12/6/19,SAC,4,155,155
2019-20,12/6/19,LAL,-5,-200,-200
2019-20,12/7/19,ORL,9,350,350
2019-20,12/7/19,CLE,11,500,500
2019-20,12/7/19,IND,-5.5,-220,-220
2019-20,12/7/19,PHX,11,525,525
2019-20,12/7/19,MEM,11.5,550,550
2019-20,12/8/19,DEN,-4.5,-185,-185
